S.no,price,reviews,rating,accommodates,extpeop,savwish,min_stay,Conversion%,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds,uprice,Esimated Revenue,average revenue per booking,City
136,175,0,NA,2,0,2,5,0,1.453816388,0,1,1,1,0,1,1,175,0,0,Miami
137,100,49,4.5,3,0,480,1,10.20833333,2.298452506,1,1,0,1,1,1,2,100,4900,100,Miami
138,150,10,4.5,4,1,118,1,8.474576271,2.855803992,1,1,0,0,2,1,2,75,1500,150,Miami
139,80,44,4.5,2,0,176,3,25,2.480565126,0,1,0,0,1,1,2,80,10560,240,Miami
140,49,11,5,2,0,59,1,18.6440678,4.840549581,0,1,0,0,1,1,1,49,539,49,Miami
141,260,22,4.5,5,1,232,5,9.482758621,3.125994398,0,1,0,1,2,2,2,130,28600,1300,Miami
142,35,3,4,3,1,19,1,15.78947368,2.601750611,0,0,0,1,1,2,3,35,105,35,Miami
143,75,16,5,2,0,121,3,13.2231405,2.936720446,0,0,1,0,1,1,1,75,3600,225,Miami
144,95,11,5,2,0,62,1,17.74193548,4.673819892,0,0,0,0,1,1,1,95,1045,95,Miami
145,42,70,4.5,4,1,148,1,47.2972973,2.607429486,0,0,1,0,1,1,1,42,2940,42,Miami
146,70,10,5,2,0,52,1,19.23076923,2.735610967,0,0,0,0,1,1,1,70,700,70,Miami
147,119,47,5,3,0,799,5,5.882352941,3.601975655,1,1,0,0,1,1,2,119,27965,595,Miami
148,119,8,4.5,4,1,123,1,6.504065041,1.92610244,1,1,1,1,1,1,2,119,952,119,Miami
149,90,40,5,8,1,384,3,10.41666667,2.316142973,1,1,1,1,1,1,3,90,10800,270,Miami
150,89,36,4.5,3,0,347,7,10.37463977,1.956567747,1,0,0,0,1,1,1,89,22428,623,Miami
151,99,7,5,3,0,96,8,7.291666667,3.824926375,0,1,1,1,0,1,3,99,5544,792,Miami
152,599,5,4.5,7,0,84,5,5.952380952,3.003062267,1,1,0,1,2,2,3,299.5,14975,2995,Miami
153,319,1,4.5,4,0,11,5,9.090909091,2.964163363,1,1,0,1,1,1,2,319,1595,1595,Miami
154,299,2,5,5,0,23,5,8.695652174,3.096303857,1,1,0,1,1,1,3,299,2990,1495,Miami
155,499,2,2.5,6,0,28,5,7.142857143,2.834137712,1,1,0,1,2,2,3,249.5,4990,2495,Miami
156,599,9,4.5,10,0,173,5,5.202312139,3.363871691,1,1,0,1,3,2,4,199.6666667,26955,2995,Miami
157,649,1,4.5,12,0,27,5,3.703703704,2.964163363,1,1,0,1,4,2,6,162.25,3245,3245,Miami
158,169,20,4.5,6,0,239,5,8.368200837,3.578930616,1,1,0,1,1,1,3,169,16900,845,Miami
159,449,5,4,6,0,51,5,9.803921569,3.403512282,1,1,0,1,2,2,3,224.5,11225,2245,Miami
160,799,6,5,12,0,135,5,4.444444444,2.907663066,1,1,0,1,3,3,3,266.3333333,23970,3995,Miami
161,299,10,5,5,0,65,5,15.38461538,3.473092466,1,1,0,1,1,1,2,299,14950,1495,Miami
162,353,5,5,5,0,46,5,10.86956522,3.484241967,1,1,0,1,1,1,2,353,8825,1765,Miami
163,399,4,5,8,0,60,5,6.666666667,3.339942313,1,1,0,1,2,2,2,199.5,7980,1995,Miami
164,100,6,4.5,2,1,82,5,7.317073171,2.540362695,1,1,0,1,1,1,1,100,3000,500,Miami
165,169,4,4,3,0,38,5,10.52631579,2.501340681,1,1,1,0,1,1,1,169,3380,845,Miami
166,60,9,5,2,0,111,5,8.108108108,2.710020031,0,0,1,1,0,1,1,60,2700,300,Miami
167,150,0,NA,3,0,0,1,0,NA,0,0,1,1,2,1,0,75,0,0,Miami
168,350,0,NA,2,0,0,1,0,2.339617286,0,0,1,1,1,1,1,350,0,0,Miami
169,165,9,4.5,2,0,71,1,12.67605634,4.209775232,1,0,1,1,1,1,1,165,1485,165,Miami
170,153,3,4.5,2,0,28,3,10.71428571,1.03757682,1,1,0,0,1,1,1,153,1377,459,Miami
171,75,19,5,2,0,94,3,20.21276596,4.734074502,1,1,1,1,1,1,1,75,4275,225,Miami
172,165,6,4,4,0,196,3,3.06122449,2.968334411,1,1,0,1,1,1,2,165,2970,495,Miami
173,85,5,5,2,1,67,5,7.462686567,2.63958967,0,1,0,0,1,1,1,85,2125,425,Miami
174,80,25,4,4,1,246,1,10.16260163,2.604237179,0,1,0,0,1,1,2,80,2000,80,Miami
175,89,8,4,4,0,64,3,12.5,1.953777104,0,0,0,0,1,1,2,89,2136,267,Miami
176,95,15,5,2,0,66,5,22.72727273,2.880174392,1,1,0,0,0,1,1,95,7125,475,Miami
177,80,80,4.5,4,1,1364,1,5.865102639,1.960872003,1,1,0,0,0,1,2,80,6400,80,Miami
178,120,11,4,4,1,222,1,4.954954955,0.944725909,0,0,0,0,1,0,3,120,1320,120,Miami
179,120,25,4,4,1,425,1,5.882352941,1.057258933,0,0,0,0,1,1,3,120,3000,120,Miami
180,90,2,4,2,0,41,5,4.87804878,1.433361988,1,1,0,0,0,1,1,90,900,450,Miami
181,79,15,4.5,2,0,137,5,10.94890511,2.598218568,1,1,0,0,0,1,1,79,5925,395,Miami
182,72,10,5,2,0,31,1,32.25806452,2.866414718,0,0,0,0,0,1,1,72,720,72,Miami
183,185,10,4.5,3,1,1277,5,0.783085356,3.975299935,1,1,1,1,1,1,1,185,9250,925,Paris
184,100,8,5,2,0,279,3,2.867383513,2.963489957,0,0,0,0,1,1,1,100,2400,300,Paris
185,512,31,5,10,1,434,3,7.142857143,3.418955775,1,0,1,1,4,3,5,128,47616,1536,Paris
186,92,65,4.5,2,0,784,2,8.290816327,3.902198617,0,0,1,1,1,1,1,92,11960,184,Paris
187,71,9,4.5,4,1,621,1,1.449275362,2.234021443,1,1,0,0,2,1,1,35.5,639,71,Paris
188,85,67,4.5,2,1,556,1,12.05035971,2.357849384,0,0,1,1,1,1,1,85,5695,85,Paris
189,83,152,5,2,0,1325,1,11.47169811,4.035472547,0,0,1,0,1,2,1,83,12616,83,Paris
190,98,6,5,4,1,448,3,1.339285714,2.273819306,1,0,1,1,0,1,3,98,1764,294,Paris
191,121,1,5,4,1,162,1,0.617283951,2.86455901,0,0,0,0,1,1,2,121,121,121,Paris
192,78,11,4.5,2,0,334,1,3.293413174,2.050345226,0,0,1,1,1,1,1,78,858,78,Paris
193,100,86,4.5,2,0,3429,2,2.508019831,4.153550252,1,1,0,1,1,0,1,100,17200,200,Paris
194,249,58,4.5,5,0,1869,2,3.103263777,1.920023494,1,1,1,1,2,1,3,124.5,28884,498,Paris
195,128,2,5,4,0,45,3,4.444444444,3.05122461,0,0,1,1,0,1,2,0,768,384,Paris
196,98,6,4.5,3,0,286,1,2.097902098,2.819720366,1,1,1,1,1,1,2,98,588,98,Paris
197,183,82,5,4,1,1839,2,4.458945079,5.504238701,1,1,1,1,1,1,1,183,30012,366,Paris
198,235,81,5,4,0,1371,1,5.90809628,3.125908047,1,0,0,0,2,1,2,117.5,19035,235,Paris
199,57,5,4.5,3,0,381,1,1.312335958,1.258920324,0,0,0,1,1,1,2,57,285,57,Paris
200,83,133,4.5,2,0,1841,1,7.224334601,1.42126704,0,0,0,0,1,1,1,83,11039,83,Paris
201,128,16,4.5,2,0,198,1,8.080808081,2.26717384,1,1,1,0,1,1,1,128,2048,128,Paris
202,102,55,4.5,2,0,667,2,8.245877061,1.759667176,1,0,1,1,1,0,1,102,11220,204,Paris
203,78,0,NA,2,0,17,6,0,2.344207617,1,1,1,1,0,1,1,0,0,0,Paris
204,199,1,5,4,1,27,3,3.703703704,2.577121028,1,1,1,1,1,1,2,199,597,597,Paris
205,171,7,4.5,3,1,336,5,2.083333333,3.530725351,1,1,1,1,1,1,2,171,5985,855,Paris
206,256,19,4.5,5,1,968,4,1.962809917,2.64375,1,1,1,1,2,0,1,128,19456,1024,Paris
207,228,14,5,4,1,178,1,7.865168539,3.558549528,1,0,0,0,1,0,1,228,3192,228,Paris
208,78,5,4,2,0,97,4,5.154639175,1.958837417,0,0,1,1,1,1,1,78,1560,312,Paris
209,114,32,4.5,2,0,613,1,5.220228385,2.854239327,1,1,1,0,1,1,1,114,3648,114,Paris
210,92,0,NA,3,1,91,2,0,NA,1,1,1,1,0,1,1,0,0,0,Paris
211,85,5,5,2,0,145,1,3.448275862,2.230081748,0,0,1,1,1,1,1,85,425,85,Paris
212,100,2,5,2,0,465,2,0.430107527,3.162827182,1,1,0,0,0,1,1,100,400,200,Paris
213,107,28,5,2,0,1377,1,2.033405955,2.034437314,1,0,1,1,1,1,1,107,2996,107,Paris
214,57,85,5,2,0,2790,2,3.046594982,2.846186937,0,0,1,1,1,1,1,57,9690,114,Paris
215,40,1,5,1,0,64,1,1.5625,1.466993172,0,1,1,1,1,1,2,40,40,40,Paris
216,135,29,4.5,4,1,241,1,12.03319502,2.452631579,1,1,1,1,1,1,1,135,3915,135,Paris
217,128,79,4.5,4,1,1396,2,5.659025788,4.401751717,1,1,0,0,2,1,3,64,20224,256,Paris
218,156,58,4.5,2,0,472,3,12.28813559,2.156834871,1,0,0,0,1,1,1,156,27144,468,Paris
219,125,119,4.5,4,1,1225,4,9.714285714,2.337693192,1,0,1,0,1,1,2,125,59500,500,Paris
220,118,8,5,3,0,272,3,2.941176471,3.149639667,1,1,0,1,1,1,1,118,2832,354,Paris
221,178,71,5,2,0,544,4,13.05147059,3.518100959,0,1,0,0,1,1,1,178,50552,712,Paris
222,112,4,5,2,0,129,2,3.100775194,2.501581733,1,1,1,1,1,1,1,112,896,224,Paris
223,128,218,4.5,2,0,1893,2,11.51611199,2.734169703,1,0,0,1,1,1,1,128,55808,256,Paris
224,121,121,5,2,0,1227,3,9.861450693,3.645344641,1,1,0,1,1,1,1,121,43923,363,Paris
225,127,9,5,2,0,186,5,4.838709677,3.190653296,1,0,1,1,1,1,1,127,5715,635,Paris
226,121,64,4.5,4,0,564,3,11.34751773,1.476702925,1,0,1,1,1,1,2,121,23232,363,Paris
227,142,39,5,4,0,266,4,14.66165414,3.702022171,0,0,0,0,1,1,2,142,22152,568,Paris
228,112,13,5,4,1,244,4,5.327868852,4.041916399,1,1,1,1,1,1,2,112,5824,448,Paris
229,98,73,5,2,0,697,2,10.47345768,3.226133324,0,0,1,1,1,1,1,98,14308,196,Paris
230,192,46,5,2,0,732,2,6.284153005,3.371944362,0,0,1,1,1,1,1,192,17664,384,Paris
231,169,23,5,4,1,304,2,7.565789474,3.924935321,1,1,1,1,1,0,1,169,7774,338,Paris
232,92,0,NA,4,0,3,5,0,NA,1,0,0,0,1,1,2,92,0,0,Paris
233,92,0,NA,2,0,6,4,0,NA,0,1,0,0,1,1,1,92,0,0,Paris
234,228,0,NA,2,0,15,2,0,NA,0,0,0,0,1,0,1,228,0,0,Paris
235,284,54,5,2,0,1583,3,3.411244473,2.808037045,1,0,1,0,1,1,1,284,46008,852,Paris
236,853,10,5,11,1,328,3,3.048780488,3.595099614,1,0,0,0,4,4,6,213.25,25590,2559,Paris
237,92,5,5,4,1,178,1,2.808988764,2.234021443,1,1,0,0,1,1,2,92,460,92,Paris
238,100,1,4,2,0,82,3,1.219512195,2.061823507,0,0,0,0,1,1,1,100,300,300,Paris
239,199,1,4.5,6,1,18,5,5.555555556,2.244581729,0,0,0,0,2,1,3,99.5,995,995,Paris
240,199,12,5,4,1,117,3,10.25641026,3.174355183,0,0,0,0,1,1,2,199,7164,597,Paris
241,142,0,NA,4,1,8,3,0,2.011111111,0,0,1,1,1,1,2,142,0,0,Paris
242,142,68,4.5,4,1,492,3,13.82113821,4.317508067,1,0,1,1,1,1,2,142,28968,426,Paris
243,128,9,5,4,1,158,3,5.696202532,3.748938432,1,0,1,1,1,1,2,128,3456,384,Paris
244,427,50,5,10,0,451,2,11.0864745,4.277129076,1,0,1,1,4,3,5,106.75,42700,854,Paris
245,142,57,4.5,4,0,540,1,10.55555556,2.822277697,0,0,0,1,0,1,1,142,8094,142,Paris
246,83,127,5,2,0,860,1,14.76744186,4.008879647,0,0,1,0,1,2,1,83,10541,83,Paris
247,356,10,5,8,0,99,5,10.1010101,3.05122461,1,1,0,0,4,2,8,89,17800,1780,Paris
248,198,1,NA,4,0,55,3,1.818181818,2.15853649,1,1,1,1,2,1,2,99,594,594,Paris
249,141,21,5,4,0,212,2,9.905660377,3.572268167,1,1,1,1,1,1,1,141,5922,282,Paris
250,212,47,4.5,4,0,591,1,7.952622673,3.293993435,1,1,1,1,1,1,1,212,9964,212,Paris
251,212,1,5,4,0,13,2,7.692307692,2.348148148,1,1,1,0,1,1,2,212,424,424,Paris
252,84,2,5,2,0,21,1,9.523809524,1.91213908,0,1,0,0,1,1,1,84,168,84,Paris
253,84,60,5,2,0,879,1,6.825938567,3.394462537,1,1,1,1,1,1,1,84,5040,84,Paris
254,112,37,4.5,2,0,732,1,5.054644809,2.573395578,1,1,1,1,1,1,1,112,4144,112,Paris
255,356,0,NA,8,0,39,7,0,1.874986251,1,0,1,1,3,1,4,118.6666667,0,0,Paris
256,128,27,4.5,3,1,508,1,5.31496063,3.415337154,0,0,0,0,2,1,1,64,3456,128,Paris
